date,hour,crime_count,crash_count,PRCP,TAVG,TMAX,TMIN,crime_score,crash_score,is_rain,is_cold,weather_factor,is_peak_hour,emergency_risk_score
2026-01-01,0,89,19.0,0.0,16.0,20,9,0.9999999887640451,0.0844444440691358,0,1,0.1,0,0.490333328164561
2026-01-01,1,59,34.0,0.0,16.0,20,9,0.6629213408660524,0.15111111043950617,0,1,0.1,0,0.35864793652157545
2026-01-01,2,44,38.0,0.0,16.0,20,9,0.494382016917056,0.1688888881382716,0,1,0.1,0,0.2881385740541567
2026-01-01,3,39,25.0,0.0,16.0,20,9,0.4382022422673906,0.11111111061728396,0,1,0.1,0,0.24552434220551095
2026-01-01,4,29,16.0,0.0,16.0,20,9,0.3258426929680596,0.07111111079506173,0,1,0.1,0,0.18296254507414533
2026-01-01,5,13,10.0,0.0,16.0,20,9,0.14606741408913018,0.04444444424691358,0,1,0.1,0,0.09406366961418265
2026-01-01,6,11,6.0,0.0,16.0,20,9,0.123595504229264,0.02666666654814815,0,1,0.1,0,0.07861797686761325
2026-01-01,7,6,7.0,0.0,16.0,20,9,0.06741572957959854,0.031111110972839508,0,1,0.1,1,0.1546704116026712
2026-01-01,8,13,10.0,0.0,16.0,20,9,0.14606741408913018,0.04444444424691358,0,1,0.1,1,0.19406366961418264
2026-01-01,9,19,7.0,0.0,16.0,20,9,0.21348314366872873,0.031111110972839508,0,1,0.1,1,0.22040074794277978
2026-01-01,10,24,4.0,0.0,16.0,20,9,0.2696629183183942,0.017777777698765432,0,1,0.1,1,0.241681646552907
2026-01-01,11,24,11.0,0.0,16.0,20,9,0.2696629183183942,0.04888888867160494,0,1,0.1,0,0.15101497984475887
2026-01-01,12,29,15.0,0.0,16.0,20,9,0.3258426929680596,0.06666666637037037,0,1,0.1,0,0.18162921174673796
2026-01-01,13,32,11.0,0.0,16.0,20,9,0.35955055775785894,0.04888888867160494,0,1,0.1,0,0.19146441759251798
2026-01-01,14,22,18.0,0.0,16.0,20,9,0.247191008458528,0.07999999964444444,0,1,0.1,0,0.15023595369967097
2026-01-01,15,22,12.0,0.0,16.0,20,9,0.247191008458528,0.0533333330962963,0,1,0.1,0,0.14223595373522652
2026-01-01,16,29,10.0,0.0,16.0,20,9,0.3258426929680596,0.04444444424691358,0,1,0.1,0,0.17496254510970088
2026-01-01,17,28,7.0,0.0,16.0,20,9,0.31460673803812655,0.031111110972839508,0,1,0.1,1,0.2659063654090088
2026-01-01,18,26,10.0,0.0,16.0,20,9,0.29213482817826036,0.04444444424691358,0,1,0.1,1,0.25979400595429125
2026-01-01,19,26,14.0,0.0,16.0,20,9,0.29213482817826036,0.062222221945679015,0,1,0.1,1,0.26512733926392085
2026-01-01,20,27,8.0,0.0,16.0,20,9,0.30337078310819343,0.035555555397530865,0,1,0.1,1,0.26218351901794634
2026-01-01,21,18,3.0,0.0,16.0,20,9,0.20224718873879563,0.013333333274074075,0,1,0.1,0,0.11001123491468026
2026-01-01,22,18,6.0,0.0,16.0,20,9,0.20224718873879563,0.02666666654814815,0,1,0.1,0,0.11401123489690249
2026-01-01,23,16,2.0,0.0,16.0,20,9,0.17977527887892947,0.008888888849382716,0,1,0.1,0,0.09856554215033307
2026-01-02,0,28,4.0,0.0,19.0,22,17,0.31460673803812655,0.017777777698765432,0,1,0.1,0,0.1619063654267866
2026-01-02,1,19,8.0,0.0,19.0,22,17,0.21348314366872873,0.035555555397530865,0,1,0.1,0,0.12173408127018719
2026-01-02,2,19,5.0,0.0,19.0,22,17,0.21348314366872873,0.02222222212345679,0,1,0.1,0,0.11773408128796496
2026-01-02,3,14,1.0,0.0,19.0,22,17,0.15730336901906328,0.004444444424691358,0,1,0.1,0,0.0871198493859859
2026-01-02,4,8,4.0,0.0,19.0,22,17,0.08988763943946473,0.017777777698765432,0,1,0.1,0,0.06078277105738876
2026-01-02,5,10,2.0,0.0,19.0,22,17,0.11235954929933091,0.008888888849382716,0,1,0.1,0,0.06822846383951373
2026-01-02,6,5,3.0,0.0,19.0,22,17,0.056179774649665455,0.013333333274074075,0,1,0.1,0,0.044280898574571674
2026-01-02,7,7,5.0,0.0,19.0,22,17,0.07865168450953164,0.02222222212345679,0,1,0.1,1,0.1570599246663263
2026-01-02,8,13,11.0,0.0,19.0,22,17,0.14606741408913018,0.04888888867160494,0,1,0.1,1,0.19539700294159007
2026-01-02,9,16,2.0,0.0,19.0,22,17,0.17977527887892947,0.008888888849382716,0,1,0.1,1,0.19856554215033306
2026-01-02,10,22,11.0,0.0,19.0,22,17,0.247191008458528,0.04888888867160494,0,1,0.1,1,0.2409026204078191
2026-01-02,11,24,17.0,0.0,19.0,22,17,0.2696629183183942,0.07555555521975309,0,1,0.1,0,0.15901497980920332
2026-01-02,12,29,15.0,0.0,19.0,22,17,0.3258426929680596,0.06666666637037037,0,1,0.1,0,0.18162921174673796
2026-01-02,13,33,15.0,0.0,19.0,22,17,0.370786512687792,0.06666666637037037,0,1,0.1,0,0.20185393062061752
2026-01-02,14,29,19.0,0.0,19.0,22,17,0.3258426929680596,0.0844444440691358,0,1,0.1,0,0.18696254505636756
2026-01-02,15,39,14.0,0.0,19.0,22,17,0.4382022422673906,0.062222221945679015,0,1,0.1,0,0.23085767560402948
2026-01-02,16,31,17.0,0.0,19.0,22,17,0.3483146028279258,0.07555555521975309,0,1,0.1,0,0.19440823783849254
2026-01-02,17,31,19.0,0.0,19.0,22,17,0.3483146028279258,0.0844444440691358,0,1,0.1,1,0.2970749044933074
2026-01-02,18,27,12.0,0.0,19.0,22,17,0.30337078310819343,0.0533333330962963,0,1,0.1,1,0.26751685232757594
2026-01-02,19,25,11.0,0.0,19.0,22,17,0.2808988732483273,0.04888888867160494,0,1,0.1,1,0.2560711595632288
2026-01-02,20,27,6.0,0.0,19.0,22,17,0.30337078310819343,0.02666666654814815,0,1,0.1,1,0.2595168523631315
2026-01-02,21,14,11.0,0.0,19.0,22,17,0.15730336901906328,0.04888888867160494,0,1,0.1,0,0.10045318266005997
2026-01-02,22,18,8.0,0.0,19.0,22,17,0.20224718873879563,0.035555555397530865,0,1,0.1,0,0.1166779015517173
2026-01-02,23,24,7.0,0.0,19.0,22,17,0.2696629183183942,0.031111110972839508,0,1,0.1,0,0.14568164653512922
2026-01-03,0,33,4.0,0.0,21.0,25,20,0.370786512687792,0.017777777698765432,0,1,0.1,0,0.18718726401913605
2026-01-03,1,14,3.0,0.0,21.0,25,20,0.15730336901906328,0.013333333274074075,0,1,0.1,0,0.0897865160408007
2026-01-03,2,31,6.0,0.0,21.0,25,20,0.3483146028279258,0.02666666654814815,0,1,0.1,0,0.17974157123701107
2026-01-03,3,21,6.0,0.0,21.0,25,20,0.23595505352859492,0.02666666654814815,0,1,0.1,0,0.12917977405231218
2026-01-03,4,20,1.0,0.0,21.0,25,20,0.22471909859866182,0.004444444424691358,0,1,0.1,0,0.11745692769680523
2026-01-03,5,14,4.0,0.0,21.0,25,20,0.15730336901906328,0.017777777698765432,0,1,0.1,0,0.0911198493682081
2026-01-03,6,12,2.0,0.0,21.0,25,20,0.1348314591591971,0.008888888849382716,0,1,0.1,0,0.0783408232764535
2026-01-03,7,12,6.0,0.0,21.0,25,20,0.1348314591591971,0.02666666654814815,0,1,0.1,1,0.18367415658608316
2026-01-03,8,15,0.0,0.0,21.0,25,20,0.16853932394899637,0.0,0,1,0.1,1,0.19084269577704838
2026-01-03,9,17,9.0,0.0,21.0,25,20,0.19101123380886253,0.03999999982222222,0,1,0.1,1,0.21295505516065483
2026-01-03,10,26,11.0,0.0,21.0,25,20,0.29213482817826036,0.04888888867160494,0,1,0.1,1,0.2611273392816986
2026-01-03,11,19,3.0,0.0,21.0,25,20,0.21348314366872873,0.013333333274074075,0,1,0.1,0,0.11506741463315015
2026-01-03,12,22,15.0,0.0,21.0,25,20,0.247191008458528,0.06666666637037037,0,1,0.1,0,0.14623595371744874
2026-01-03,13,28,12.0,0.0,21.0,25,20,0.31460673803812655,0.0533333330962963,0,1,0.1,0,0.17257303204604585
2026-01-03,14,21,12.0,0.0,21.0,25,20,0.23595505352859492,0.0533333330962963,0,1,0.1,0,0.13717977401675663
2026-01-03,15,25,9.0,0.0,21.0,25,20,0.2808988732483273,0.03999999982222222,0,1,0.1,0,0.15340449290841396
